"uri_hls";"name";"definition";"birthdate";"new_uri_wikidata";"gv_uri_wikidata";"new_uri_idref";"gv_uri_idref";"new_uri_viaf";"gv_uri_viaf"
"https://hls-dhs-dss.ch/articles/010788";"Amandus Polanus";"German Reformed theologian";"(1561, 12, 16)";"http://www.wikidata.org/entity/Q454349";"";"http://www.idref.fr/076719464/id";"http://www.idref.fr/076719464/id";"http://viaf.org/viaf/76306456";""
"https://hls-dhs-dss.ch/articles/026060";"Peter Megerlin";"(1623-1686)";"(1623, 1, 1)";"http://www.wikidata.org/entity/Q18945726";"http://wikidata.org/entity/Q18945726";"http://www.idref.fr/032811179/id";"http://www.idref.fr/032811179/id";"http://viaf.org/viaf/5011572";""
"https://hls-dhs-dss.ch/articles/028817";"Victor Fatio";"Swiss zoologist (1838-1906)";"(1838, 11, 28)";"http://www.wikidata.org/entity/Q114588";"http://www.wikidata.org/entity/Q114588";"http://www.idref.fr/126068240/id";"";"http://viaf.org/viaf/56741866";"http://viaf.org/viaf/56741866"
"https://hls-dhs-dss.ch/articles/043603";"Maurice Bavaud";"Swiss assassin (1916-1941)";"(1916, 1, 15)";"http://www.wikidata.org/entity/Q115657";"http://www.wikidata.org/entity/Q115657";"http://www.idref.fr/027720268/id";"";"http://viaf.org/viaf/57899766";"http://viaf.org/viaf/57899766"
"https://hls-dhs-dss.ch/articles/028803";"Jean-Daniel Colladon";"Swiss physicist (1802-1893)";"(1802, 12, 15)";"http://www.wikidata.org/entity/Q115741";"http://www.wikidata.org/entity/Q115741";"http://www.idref.fr/124240631/id";"";"http://viaf.org/viaf/95143790";"http://viaf.org/viaf/95143790"
"https://hls-dhs-dss.ch/articles/028801";"Hermann Christ";"Swiss botanist (1833–1933)";"(1833, 12, 12)";"http://www.wikidata.org/entity/Q115901";"http://www.wikidata.org/entity/Q115901";"http://www.idref.fr/067722873/id";"";"http://viaf.org/viaf/91656916";"http://viaf.org/viaf/91656916"
"https://hls-dhs-dss.ch/articles/029931";"Alfred Vogel";"Swiss writer (1902-1996)";"(1902, 10, 26)";"http://www.wikidata.org/entity/Q115980";"http://www.wikidata.org/entity/Q115980";"";"";"http://viaf.org/viaf/95162826";"http://viaf.org/viaf/95162826"
"https://hls-dhs-dss.ch/articles/043530";"Ernst Stueckelberg";"Swiss mathematician and physicist (1905-1984)";"(1905, 2, 1)";"http://www.wikidata.org/entity/Q116176";"http://www.wikidata.org/entity/Q116176";"http://www.idref.fr/149207883/id";"";"http://viaf.org/viaf/90773021";"http://viaf.org/viaf/90773021"
"https://hls-dhs-dss.ch/articles/028982";"Heinrich von Wild";"Swiss meteorologist (1833-1902)";"(1833, 12, 17)";"http://www.wikidata.org/entity/Q116307";"http://www.wikidata.org/entity/Q116307";"http://www.idref.fr/103294481/id";"";"http://viaf.org/viaf/5712377";"http://viaf.org/viaf/5712377"
"https://hls-dhs-dss.ch/articles/042733";"Walter Haefner";"Swiss businessman (1910-2012)";"(1910, 9, 13)";"http://www.wikidata.org/entity/Q116842";"http://www.wikidata.org/entity/Q116842";"";"";"http://viaf.org/viaf/160831070";"http://viaf.org/viaf/160831070"
"https://hls-dhs-dss.ch/articles/028669";"Emil Ruder";"Swiss typographer (1914-1970)";"(1914, 3, 20)";"http://www.wikidata.org/entity/Q116848";"http://www.wikidata.org/entity/Q116848";"http://www.idref.fr/069568006/id";"";"http://viaf.org/viaf/45218099";"http://viaf.org/viaf/45218099"
"https://hls-dhs-dss.ch/articles/028857";"Franz Joseph Hugi";"Swiss geologist (1791-1855)";"(1791, 1, 1)";"http://www.wikidata.org/entity/Q116938";"";"http://www.idref.fr/162016395/id";"http://www.idref.fr/162016395/id";"http://viaf.org/viaf/171145542686996642271";""
"https://hls-dhs-dss.ch/articles/041370";"Johann Conrad Ammann";"(1724-1811)";"(1724, 12, 24)";"http://www.wikidata.org/entity/Q117963";"http://wikidata.org/entity/Q117963";"";"";"http://viaf.org/viaf/306359332";"http://viaf.org/viaf/306359332"
"https://hls-dhs-dss.ch/articles/011953";"Hans Caspar Hirzel";"Swiss writer";"(1725, 3, 21)";"http://www.wikidata.org/entity/Q118944";"http://wikidata.org/entity/Q118944";"http://www.idref.fr/113700210/id";"http://www.idref.fr/113700210/id";"http://viaf.org/viaf/67266697";""
"https://hls-dhs-dss.ch/articles/022173";"Arnold Brügger";"Swiss artist (1888-1975)";"(1888, 10, 18)";"http://www.wikidata.org/entity/Q120505";"http://www.wikidata.org/entity/Q120505";"http://www.idref.fr/252862945/id";"";"http://viaf.org/viaf/59881457";"http://viaf.org/viaf/59881457"
"https://hls-dhs-dss.ch/articles/016052";"Benjamin Constant";"Swiss-born French politician, writer on politics and religion (1767-1830)";"(1767, 10, 25)";"http://www.wikidata.org/entity/Q123089";"http://www.wikidata.org/entity/Q123089";"http://www.idref.fr/02665265X/id";"";"http://viaf.org/viaf/45095766";"http://viaf.org/viaf/45095766"
"https://hls-dhs-dss.ch/articles/027870";"Josef Müller-Brockmann";"Swiss graphic designer (1914-1996)";"(1914, 5, 9)";"http://www.wikidata.org/entity/Q123409";"http://www.wikidata.org/entity/Q123409";"http://www.idref.fr/059051809/id";"";"http://viaf.org/viaf/34450286";"http://viaf.org/viaf/34450286"
"https://hls-dhs-dss.ch/articles/020533";"Ernest Ansermet";"Swiss conductor (1883–1969)";"(1883, 11, 11)";"http://www.wikidata.org/entity/Q123603";"http://www.wikidata.org/entity/Q123603";"http://www.idref.fr/026687860/id";"";"http://viaf.org/viaf/14957421";"http://viaf.org/viaf/14957421"
"https://hls-dhs-dss.ch/articles/023986";"Nicolaus I Bernoulli";"Swiss mathematician (1687-1759)";"(1687, 10, 20)";"http://www.wikidata.org/entity/Q123992";"http://wikidata.org/entity/Q123992";"";"http://www.idref.fr/050328441/id";"";"http://viaf.org/viaf/74657167"
"https://hls-dhs-dss.ch/articles/024442";"Henry Wirz";"Swiss-born Confederate officer in the American Civil War";"(1823, 11, 25)";"http://www.wikidata.org/entity/Q124334";"http://www.wikidata.org/entity/Q124334";"";"";"http://viaf.org/viaf/40181456";"http://viaf.org/viaf/40181456"
"https://hls-dhs-dss.ch/articles/019722";"Carl Garré";"Swiss surgeon (1857-1928)";"(1857, 12, 11)";"http://www.wikidata.org/entity/Q124343";"http://www.wikidata.org/entity/Q124343";"http://www.idref.fr/08895756X/id";"";"http://viaf.org/viaf/5356187";"http://viaf.org/viaf/5356187"
"https://hls-dhs-dss.ch/articles/013325";"Karl Zeerleder";"Swiss politician (1780-1851)";"(1780, 12, 31)";"http://www.wikidata.org/entity/Q125282";"http://www.wikidata.org/entity/Q125282";"";"";"http://viaf.org/viaf/196499725";"http://viaf.org/viaf/196499725"
"https://hls-dhs-dss.ch/articles/013209";"Friedrich Ludwig Effinger";"Swiss politician (1795-1867)";"(1795, 8, 29)";"http://www.wikidata.org/entity/Q125362";"http://www.wikidata.org/entity/Q125362";"";"";"http://viaf.org/viaf/309598854";"http://viaf.org/viaf/309598854"
"https://hls-dhs-dss.ch/articles/009308";"Émilie Gourd";"Swiss suffragist (1879-1946)";"(1879, 12, 19)";"http://www.wikidata.org/entity/Q1337318";"http://www.wikidata.org/entity/Q1337318";"http://www.idref.fr/196217717/id";"";"http://viaf.org/viaf/308194963";"http://viaf.org/viaf/308194963"
"https://hls-dhs-dss.ch/articles/005172";"Vinzenz Rüttimann";"Swiss politician (1769-1844)";"(1769, 5, 20)";"http://www.wikidata.org/entity/Q2527327";"http://www.wikidata.org/entity/Q2527327";"";"";"http://viaf.org/viaf/88149467";"http://viaf.org/viaf/88149467"
"https://hls-dhs-dss.ch/articles/010936";"Walther Zimmerli";"Swiss academic theologian (1907-1983)";"(1907, 1, 20)";"http://www.wikidata.org/entity/Q2547519";"http://www.wikidata.org/entity/Q2547519";"http://www.idref.fr/136803997/id";"";"http://viaf.org/viaf/35249878";"http://viaf.org/viaf/35249878"
"https://hls-dhs-dss.ch/articles/010366";"Victor Prosper Considerant";"French utopian Socialist";"(1808, 10, 12)";"http://www.wikidata.org/entity/Q2628355";"http://www.wikidata.org/entity/Q2628355";"";"";"";"http://viaf.org/viaf/17310013"
"https://hls-dhs-dss.ch/articles/022181";"Louis Buvelot";"Swiss painter and photographer (1814-1888)";"(1814, 3, 3)";"http://www.wikidata.org/entity/Q3030006";"http://www.wikidata.org/entity/Q3030006";"";"";"http://viaf.org/viaf/42115150";"http://viaf.org/viaf/3676150749005216420004"
"https://hls-dhs-dss.ch/articles/012196";"Paracelsus";"Swiss physician, philosopher, theologian, and alchemist (c. 1493–1541)";"(1493, 11, 19)";"http://www.wikidata.org/entity/Q83428";"http://wikidata.org/entity/Q83428";"http://www.idref.fr/02733869X/id";"http://www.idref.fr/02733869X/id";"http://viaf.org/viaf/12313247";"http://viaf.org/viaf/12313247"
"https://hls-dhs-dss.ch/articles/010444";"Johann Kaspar Lavater";"Swiss poet (1741-1801)";"(1741, 11, 15)";"http://www.wikidata.org/entity/Q123918";"http://wikidata.org/entity/Q123918";"http://www.idref.fr/026970325/id";"http://www.idref.fr/026970325/id";"http://viaf.org/viaf/27067242";"http://viaf.org/viaf/27067242"
"https://hls-dhs-dss.ch/articles/004158";"Johann Ulrich Schiess";"Swiss archivist (1813-1883)";"(1813, 2, 17)";"http://www.wikidata.org/entity/Q685189";"http://www.wikidata.org/entity/Q685189";"";"";"http://viaf.org/viaf/17994340";"http://viaf.org/viaf/17994340"
"https://hls-dhs-dss.ch/articles/011945";"David Hess";"Swiss artist (1770-1843)";"(1770, 11, 29)";"http://www.wikidata.org/entity/Q1174725";"http://www.wikidata.org/entity/Q1174725";"http://www.idref.fr/115287167/id";"";"http://viaf.org/viaf/42109761";"http://viaf.org/viaf/42109761"
